Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Standard-cell placement from functional descriptions","Journal of Computer Science and Technology","","6","1","10.1007/BF02943406","Buchenrieder Klaus","1991","http://link.springer.com/article/10.1007/BF02943406","Article"
"A domain knowledge driven approach for user interface software development","Journal of Computer Science and Technology","","6","2","10.1007/BF02945365","Haiying WangShenquan Liu","1991","http://link.springer.com/article/10.1007/BF02945365","Article"
"Processing polynomial algebraic problems by using SAC-2/ALDES","Journal of Computer Science and Technology","","6","2","10.1007/BF02945371","Zhuojun Liu","1991","http://link.springer.com/article/10.1007/BF02945371","Article"
"The approximate Dirichlet Domain Decomposition method. Part II: Applications to 2nd-order Elliptic B.V.P.s","Computing","","47","2","10.1007/BF02253432","Dipl.-Math. G. HaaseProf. Dr. sc. nat. U. LangerDr. sc. nat. A. Meyer","1991","http://link.springer.com/article/10.1007/BF02253432","Article"
"Decomposition of arithmetic expressions to improve the behavior of interval iteration for nonlinear systems","Computing","","47","2","10.1007/BF02253433","R. Baker Kearfott","1991","http://link.springer.com/article/10.1007/BF02253433","Article"
"Automated tools for rapid prototyping","Journal of Computer Science and Technology","","6","3","10.1007/BF02945515","Jinping Pan","1991","http://link.springer.com/article/10.1007/BF02945515","Article"
"A prototype expert system for automatic generation of image processing programs","Journal of Computer Science and Technology","","6","3","10.1007/BF02945520","Song MaoqiangFelix GrimmHorst Bunke","1991","http://link.springer.com/article/10.1007/BF02945520","Article"
"The THUDSOS distributed operating system","Journal of Computer Science and Technology","","6","3","10.1007/BF02945521","Xianzhi LiaoXufeng LiuLan Jin","1991","http://link.springer.com/article/10.1007/BF02945521","Article"
"Interval linear systems with symmetric matrices, skew-symmetric matrices and dependencies in the right hand side","Computing","","46","3","10.1007/BF02238302","Dr. C. Jansson","1991","http://link.springer.com/article/10.1007/BF02238302","Article"
"The UNIX localization and Chinese Information Processing System","Journal of Computer Science and Technology","","6","4","10.1007/BF02948397","Yufang Sun","1991","http://link.springer.com/article/10.1007/BF02948397","Article"
"Analogical learning and automated rule constructions","Journal of Computer Science and Technology","","6","4","10.1007/BF02948391","Hayong Harry Zhou","1991","http://link.springer.com/article/10.1007/BF02948391","Article"
"Requirements and issues for handling Chinese in internationalized applications","Journal of Computer Science and Technology","","7","1","10.1007/BF02946168","Yufang Sun","1992","http://link.springer.com/article/10.1007/BF02946168","Article"
"Titan III supercomputer architectural overview","Computing","","48","1","10.1007/BF02241705","G. S. Miranker","1992","http://link.springer.com/article/10.1007/BF02241705","Article"
"A multiprocessor working as a Fault-Tolerant cellular automaton","Computing","","48","1","10.1007/BF02241703","Prof. Dr. Dr. h.c. W. Händler","1992","http://link.springer.com/article/10.1007/BF02241703","Article"
"An algorithm for determining the size of symmetry groups","Computing","","49","2","10.1007/BF02238743","Fritz Schwarz","1992","http://link.springer.com/article/10.1007/BF02238743","Article"
"BD-UIMS: How it supports semantic feedback and direct manipulation","Journal of Computer Science and Technology","","7","3","10.1007/BF02946573","Shihai DongWeide Zhong","1992","http://link.springer.com/article/10.1007/BF02946573","Article"
"Structured development environment based on the object-oriented concepts","Journal of Computer Science and Technology","","7","3","10.1007/BF02946569","Xianglin FeiLei LiaoHezhen WangChengzao Wang","1992","http://link.springer.com/article/10.1007/BF02946569","Article"
"Pipelined global data communication on hypertoruses","Journal of Computer Science and Technology","","7","3","10.1007/BF02946575","Zhimin Tang","1992","http://link.springer.com/article/10.1007/BF02946575","Article"
"Robust parallel computation in floating-point and SLI arithmetic","Computing","","48","3 - 4","10.1007/BF02238636","D. W. LozierP. R. Turner","1992","http://link.springer.com/article/10.1007/BF02238636","Article"
"The advantages of Fortran 90","Computing","","48","3 - 4","10.1007/BF02238635","John Reid","1992","http://link.springer.com/article/10.1007/BF02238635","Article"
"On the solution of interval linear systems","Computing","","47","3 - 4","10.1007/BF02320201","S. M. Rump","1992","http://link.springer.com/article/10.1007/BF02320201","Article"
"On the numerical treatment of bulging of continuously cast slabs","Computing","","49","3","10.1007/BF02238932","Dr. A. Binder","1992","http://link.springer.com/article/10.1007/BF02238932","Article"
"Uniformly accurate Sturm-Liouville eigenvalues","Computing","","47","3 - 4","10.1007/BF02320206","L. F. ShampineG. Kraut","1992","http://link.springer.com/article/10.1007/BF02320206","Article"
"Some applications of mathematical programming techniques in optimal power dispatch","Computing","","49","3","10.1007/BF02238928","J. GuddatW. RömischR. Schultz","1992","http://link.springer.com/article/10.1007/BF02238928","Article"
"R-technology of programming: Basic notions and implementation","Journal of Computer Science and Technology","","7","4","10.1007/BF02943551","I. V. Vel'bitskyA. L. KovalevI. V. KasatkinaLei Wang","1992","http://link.springer.com/article/10.1007/BF02943551","Article"
"Experiments with data perturbations to study condition numbers and numerical stability","Computing","","51","1","10.1007/BF02243827","J. Erhel","1993","http://link.springer.com/article/10.1007/BF02243827","Article"
"OOMMS: A module management system based on an object-oriented model","Journal of Computer Science and Technology","","8","2","10.1007/BF02939480","Pong Man-ChiZhang YongguangXu HongDing Jie","1993","http://link.springer.com/article/10.1007/BF02939480","Article"
"Inductive learning","Journal of Computer Science and Technology","","8","2","10.1007/BF02939474","Wu Xindong","1993","http://link.springer.com/article/10.1007/BF02939474","Article"
"Parallel interpolation of high-order Runge-Kutta methods","Computing","","50","2","10.1007/BF02238613","R. TiraniT. Romanó","1993","http://link.springer.com/article/10.1007/BF02238613","Article"
"Runge-Kutta pairs for periodic initial value problems","Computing","","51","2","10.1007/BF02243849","G. PapageorgiouCh. TsitourasS. N. Papakostas","1993","http://link.springer.com/article/10.1007/BF02243849","Article"
"Cooperative hypermedia editing with CoMEdiA","Journal of Computer Science and Technology","","8","3","10.1007/BF02939533","Adelino Santos","1993","http://link.springer.com/article/10.1007/BF02939533","Article"
"A methodology for mapping and partitioning arbitraryn-dimensional nested loops into 2-dimensional VLSI arrays","Journal of Computer Science and Technology","","8","3","10.1007/BF02939529","Hong LiuWenhong WangDefu Zhang","1993","http://link.springer.com/article/10.1007/BF02939529","Article"
"BSD/I18N — Internationalization of the 4.3BSD UNIX system","Journal of Computer Science and Technology","","8","4","10.1007/BF02939541","Jianqiang ZhouLiqun YangShilei PanHong Tan","1993","http://link.springer.com/article/10.1007/BF02939541","Article"
"A data manager for engineering applications","Journal of Computer Science and Technology","","8","4","10.1007/BF02939537","Weidong ZhengZongkai LinYuchai Guo","1993","http://link.springer.com/article/10.1007/BF02939537","Article"
"Is Huffman coding dead?","Computing","","50","4","10.1007/BF02243872","Prof. A. BooksteinDr. S. T. Klein","1993","http://link.springer.com/article/10.1007/BF02243872","Article"
"DGLa: A distributed graphics language","Journal of Computer Science and Technology","","9","2","10.1007/BF02939491","Zhigeng PanJiaoying ShiBingfeng Hu","1994","http://link.springer.com/article/10.1007/BF02939491","Article"
"Preparing mathematical equations in a document preparation environment","Journal of Computer Science and Technology","","9","2","10.1007/BF02939498","Min ZhengJinxin Lu","1994","http://link.springer.com/article/10.1007/BF02939498","Article"
